coding,beta,se,pvalue,n,protein,-Log10P
2525,-0.00295540902646562,0.00127179710913855,0.0201570654657846,9447,SORD,1.69557269369386
2526,-0.00157387106726297,0.00132355786704505,0.234422074473252,9364,SORT1,0.630001495168725
2527,-0.00248596726316638,0.00123882132589439,0.0448082485736863,9364,SOST,1.3486420310847
2528,-0.00155790347546904,0.001266993615667,0.218880765029841,7998,SOWAHA,0.659792402015635
2529,0.000617718921640043,0.00127241572079222,0.627356411267406,8189,SOX2,0.202485659376979
2530,-9.15163982703189e-05,0.00126632909190332,0.942389606624711,7998,SOX9,0.0257695122539461
2531,-0.000286677054439285,0.00124288160503287,0.817588472452205,8206,SPACA5_SPACA5B,0.0874652404795318
2532,0.000376760948349664,0.00128651202196666,0.769640719344244,8206,SPAG1,0.113711963165286
2533,0.00136153503056863,0.00136795991875955,0.319614308223469,9445,SPARC,0.4953737867942
2534,0.00230138300576383,0.00132454823777871,0.0823344606949981,9372,SPARCL1,1.08441835485759
2535,0.000958838642099297,0.00127082134859508,0.450569337512608,8036,SPART,0.346238366545121
2536,-0.000262483212717098,0.00118057925562977,0.824059225296164,8211,SPESP1,0.0840415743526458
2537,0.000764943225168635,0.00127275298644258,0.547844700846379,9416,SPINK1,0.261342534807703
2538,-0.00283046502692804,0.0011125976718591,0.0109772358937763,8036,SPINK2,1.95950700298289
2539,0.0016000555750392,0.00130468906408852,0.220083407661934,9369,SPINK4,0.657412698166733
2540,-0.00780724307182192,0.00130951306389503,2.58231411765276e-09,9416,SPINK5,8.58799093044072
2541,0.00818580239194958,0.00129621465221138,2.82015209489559e-10,9480,SPINK6,9.54972746891729
2542,-0.00328730162314676,0.00126223171726881,0.00922179777610467,7974,SPINK8,2.03518440561312
2543,-0.0013813398802749,0.00129806015498209,0.287284977266595,9385,SPINT1,0.541687083582721
2544,-0.00167714440073314,0.00132759945202767,0.206515858741705,9446,SPINT2,0.685046592435867
2545,-0.00145465830641239,0.000809402546939207,0.0723407364381308,8195,SPINT3,1.14061707437743
2546,-0.000102991248160396,0.0013030565786937,0.937003933068548,9344,SPOCK1,0.0282585861598392
2547,-0.00378657862458382,0.00124924266870873,0.00244328122335987,9418,SPON1,2.61202654255408
2548,-0.00225289119368913,0.00126688476587402,0.0753884686027102,9339,SPON2,1.12269507860244
2549,-0.000919951273781414,0.00129991312990149,0.479147706271019,9470,SPP1,0.319530586522776
2550,0.000967744290122284,0.00127197354491547,0.446786433833554,7990,SPRED2,0.349900022218637
2551,-0.00204501889629836,0.00128478730775366,0.111488028768513,7934,SPRING1,0.952771763278553
2552,-0.00315363842823465,0.00127930354724688,0.0137173935517755,8069,SPRR1B,1.86272840128358
2553,-0.00310718808813143,0.001185085421732,0.00876000019849189,8210,SPRR3,2.05749588399129
2554,0.000901215862229427,0.00132135858344106,0.495232452614358,9254,SPRY2,0.305190903710194
2555,-0.00185904078961661,0.0012800095936406,0.146439696726429,7962,SPTBN2,0.834341179204429
2556,0.000169499454448001,0.00126305481548973,0.893249287577891,8210,SPTLC1,0.0490273215023644
2557,0.00216086983050349,0.00136415801404294,0.113220053773646,9427,SRC,0.94607664318405
2558,-0.00038096224083876,0.00132567755513779,0.773834076661432,9370,SRP14,0.111352149543483
2559,-0.000339412144619302,0.00134418885468638,0.800657598549662,9369,SRPK2,0.0965531703731893
2560,-0.00422282748533121,0.00115909454680631,0.000270919883723244,8211,SRPX,3.56715911946153
2561,-0.00221605223754188,0.00134151258095974,0.0985878088930832,9242,SSB,1.00617678544218
2562,-0.000690558352477635,0.00127742370192405,0.588807536047937,7990,SSBP1,0.230026640173462
2563,-0.00417755664716738,0.00111638766250495,0.000183632332767176,9364,SSC4D,3.73605084870073
2564,-0.00443155417487748,0.00125945599088599,0.000435841249370538,9403,SSC5D,3.36067166916493
2565,0.00126587783269475,0.00125285729517066,0.312338066958735,7934,SSH3,0.505375081851693
2566,-0.000588624797455334,0.00126969811926658,0.642950781345591,8195,SSNA1,0.19182227156746
2567,0.00140100154438981,0.00124950491225053,0.262217017306206,8036,ST13,0.581339126977122
2568,0.00403347435385239,0.00126342141472855,0.00141513150348084,9370,ST3GAL1,2.84920320071749
2569,-0.00307185035626631,0.00130056634764955,0.0182000508344009,9487,ST6GAL1,1.73992739898916
2570,-0.0018036780356248,0.00126578004485371,0.154209699842956,7990,ST8SIA1,0.811888308154182
2571,-0.000573203308573828,0.00121059466191039,0.635876899235116,8229,STAB2,0.196626952209264
2572,0.00132792099216626,0.00127127205801678,0.296256935000409,8175,STAM,0.528331474577932
2573,0.00178188034899785,0.0013328269360544,0.181282053435283,9328,STAMBP,0.741645188071137
2574,0.000122935046730435,0.00127091660855576,0.922943693503384,7990,STAT2,0.034824793390867
2575,0.000517232097773021,0.00134916173484196,0.701451977347637,9370,STAT5B,0.154002056192043
2576,0.00044607629226607,0.00127265655438765,0.725966816823522,7934,STAU1,0.139083229988327
2577,-0.00330527183260323,0.00126851905609351,0.00918528970485577,9496,STC1,2.0369071414555
2578,-0.00351980010050586,0.00129770421797885,0.0066933903978884,9416,STC2,2.17435384364971
2579,0.00175900392339206,0.00127268150387506,0.16697240966646,7962,STEAP4,0.777355285256783
2580,0.000751226584100423,0.00134029169825297,0.57515533756471,9399,STIP1,0.240214845508132
2581,-0.000357016138209048,0.00130103621964577,0.783776422567201,9234,STK11,0.105807805036243
2582,0.00101597093389455,0.00130062984694851,0.434741584530265,9242,STK24,0.361768816058871
2583,0.00147441012263716,0.00135422272244826,0.276292125065126,9378,STK4,0.558631493257575
2584,0.000473711510517163,0.00127106778794149,0.709390760548315,7934,STOML2,0.149114472290653
2585,-0.000517994286689134,0.00134183971194432,0.699481247591707,9190,STX16,0.155223924026493
2586,-0.00182563791348668,0.00126432109803535,0.148787507494598,7998,STX1B,0.827433531518096
2587,0.00128417831519824,0.00127881407533881,0.315314426149264,8210,STX3,0.501256159116679
2588,-0.000732106248246946,0.00136553991251304,0.591881791331305,9370,STX4,0.227765020470747
2589,1.45334688458212e-05,0.001286476408606,0.990986682578887,7990,STX5,0.00393218176231754
2590,-9.90578940798327e-05,0.00135209746953717,0.941598915539521,9190,STX6,0.026134050350978
2591,-0.00161002291705137,0.00125542492976903,0.199721210417049,7990,STX7,0.699575810552777
2592,-0.00101470890759528,0.00136150181143354,0.456117271630937,9369,STX8,0.340923482172591
