coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,#NAME?
658,-0.00590988,0.006160474,0.337403304,33516,1,0.060988468,0.004968033,CPLX2,0.471850669
659,-0.04224837,0.005813288,3.73E-13,38926,1,0.196824434,2.57E-09,CPM,12.4283747
660,-0.011795847,0.006037743,0.050746748,33702,1,0.107876523,2.93E-23,CPOX,1.294591787
661,-0.016710194,0.006685031,0.012435895,39130,1,3.538244698,7.84E-24,CPPED1,1.905322943
662,-0.02348327,0.006103979,0.000119686,34726,1,0.088682858,5.10E-08,CPQ,3.92195759
663,0.000588366,0.006153372,0.923825451,33663,1,0.191309643,8.40E-05,CPTP,0.034410077
664,-0.018932043,0.006798832,0.005361918,39085,1,0.588431407,0.704475537,CPVL,2.270679797
665,-0.018760465,0.006750462,0.005452946,38977,1,1.644974075,0.862886625,CPXM1,2.263368772
666,-0.043865671,0.005847342,6.44E-14,34781,1,0.049126283,3.73E-19,CPXM2,13.19083914
667,-0.00518671,0.005989144,0.386485967,34628,1,0.008210621,2.13E-24,CR1,0.412866271
668,-0.02342667,0.006589569,0.000378264,38818,1,0.341628343,1.50E-08,CR2,3.422204814
669,0.00617697,0.006576558,0.347613231,38061,1,0.778788275,4.40E-05,CRACR2A,0.458903702
670,-0.002822042,0.006689983,0.673150693,38518,1,0.546519351,8.44E-07,CRADD,0.171887703
671,-0.008000307,0.006142775,0.192791038,33516,1,0.059567254,0.271210264,CREB3,0.714913159
672,-0.005193715,0.006106782,0.395062621,33516,1,0.047705343,7.01E-05,CREBZF,0.40333406
673,-0.049103602,0.006402565,1.77E-14,38399,1,0.053550988,2.86E-07,CREG1,13.75222134
674,-0.011445227,0.005789296,0.048053839,33976,3,0.014474118,2.77E-59,CRELD1,1.318271908
675,-0.016370823,0.00664897,0.013814642,38863,1,0.23223626,0.039275045,CRELD2,1.859660368
676,0.031534908,0.006453958,1.03E-06,38004,1,0.508840027,6.64E-12,CRH,5.986097439
677,-0.04416164,0.006227954,1.36E-12,38737,1,3.025302114,3.48E-11,CRHBP,11.86791389
678,-0.003633003,0.006617717,0.583021559,38118,1,1.384360084,0.886888314,CRHR1,0.234315385
679,-0.004650344,0.006463255,0.471834101,38927,1,0.622975984,0.010401754,CRIM1,0.326210674
680,-0.02702293,0.006086243,9.02E-06,38586,1,0.033688245,5.40E-37,CRIP2,5.04475769
681,0.012369746,0.005842566,0.034251112,39157,2,0.015212749,1.63E-08,CRISP2,1.465325318
682,-0.009064933,0.005997648,0.130692024,34423,1,0.049174412,9.59E-44,CRISP3,0.883750916
683,0.001878127,0.00675888,0.781109446,38800,1,1.017581647,0.016407781,CRKL,0.10728811
