coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
230,-0.004637755,0.009902124,0.639530629,31885,1,0.148636086,0.441155991,BABAM1,0.194138651
231,-0.036893704,0.010816161,0.000648001,36491,1,0.552310759,1.53020741445171e-13,BACH1,3.188424309
232,0.004796948,0.010554241,0.649468629,36265,1,0.173292917,0.040262015,BAG3,0.187441822
233,-0.046499966,0.009761105,1.90814998973892e-06,31885,1,0.82329395,4.62716518406833e-52,BAG4,5.719387491
234,0.003472553,0.010612454,0.743507248,35898,1,0.306922677,1.03565495000828e-15,BAG6,0.128714793
235,-0.099218316,0.010042815,5.46454375032846e-23,35873,1,0.245306095,1.72105480749271e-07,BAIAP2,22.26244609
236,-0.005748014,0.010396472,0.580348169,35873,1,0.963137198,1.94752817312043e-08,BAMBI,0.236311382
237,-0.026190699,0.010841154,0.01570302,36491,1,0.373837766,4.50049240715984e-05,BANK1,1.804016808
238,-0.043392392,0.009595163,6.13798078820723e-06,32796,1,0.338075075,3.69453485170475e-57,BAP18,5.211974475
239,-0.001198754,0.009942711,0.904035438,31950,1,0.052852392,1.63773616101781e-09,BATF,0.043814545
240,-0.042354028,0.010626799,6.74471513438307e-05,35757,1,0.323635032,1.73548192250799e-06,BAX,4.171036388
241,0.033906136,0.01068501,0.001508709,36562,1,0.115576227,1.83269270496082e-06,BCAM,2.821394423
242,0.05366622,0.010087652,1.04386053031403e-07,36327,1,2.778744468,4.98657577182219e-25,BCAN,6.981357523
243,-0.012279322,0.009787009,0.209612875,32845,1,0.012923719,2.48876152157632e-32,BCAT1,0.678582045
244,0.004344111,0.009918587,0.661406077,31803,1,0.076876667,1.47817887011351e-05,BCAT2,0.179531819
245,-0.049002237,0.009353228,1.62399656348491e-07,32231,2,0.010079534,3.45684956817786e-32,BCHE,6.789414894
246,-0.04452012,0.009714963,4.60851360235092e-06,32712,2,0.006905689,1.34049202481336e-20,BCL2,5.336439126
247,-0.031320467,0.009992154,0.001722955,32796,1,0.107618482,0.004475235,BCL2L1,2.763725972
248,-0.02916122,0.010739966,0.00662657,36491,1,0.870015952,0.242502392,BCL2L11,2.178711195
249,-0.03901971,0.009753,6.32737717768894e-05,31885,1,0.049815136,3.12480228973679e-42,BCL2L15,4.198776276
250,0.005497528,0.009912009,0.579149592,31689,1,0.064984477,0.303276756,BCL7A,0.237209245
251,-0.022017709,0.010006477,0.027789353,32702,1,0.09448908,0.848522079,BCL7B,1.55612157
252,-0.025835046,0.010797553,0.01673103,36491,1,1.070160691,2.55289545086502e-05,BCR,1.776477323
253,-0.033341908,0.009950402,0.000806663,32859,1,0.212689625,0.00218465,BDNF,3.093307996
254,-0.031411451,0.009779931,0.001320241,32004,1,0.011890687,6.77103387622935e-31,BECN1,2.879346947
