coding,beta,se,pvalue,n,outlier_count,outlier_pvalue,heteroscedasticity_pvalue,protein,-LOG10P
180,-0.005531732,0.01130215,0.624534342,23437,1,0.117265652,0.008341394,ARL2BP,0.204443676
181,-0.023492969,0.011319122,0.037950034,23442,1,0.137790809,0.123505582,ARMCX2,1.420787836
182,-0.041637213,0.012110827,0.000586892,26565,1,0.666569403,0.112275392,ARNT,3.231441718
183,0.001771945,0.011290838,0.875296186,23437,1,0.036679736,0.103168815,ARNTL,0.057844964
184,-0.062252848,0.01192956,1.82E-07,27052,1,0.124268719,1.05E-05,ARSA,6.740317905
185,-0.055499104,0.012105723,4.57E-06,26960,1,1.189701147,0.021020967,ARSB,5.340044088
186,0.035265258,0.010913622,0.001233733,27022,1,0.049207254,4.24E-08,ART3,2.908778797
187,-0.016882914,0.011310988,0.135552296,23442,1,0.246552556,0.07012208,ART5,0.867893122
188,-0.017189728,0.012230334,0.159884497,26565,1,1.380901284,0.002986588,ARTN,0.796193645
189,-0.032224231,0.011074008,0.003618794,23991,1,0.037898781,8.17E-19,ASAH1,2.441436143
190,-0.041522906,0.011743283,0.000407095,26841,1,0.025478056,0.007310163,ASAH2,3.390303866
191,-0.123374221,0.010836926,5.85E-30,26841,1,0.020441781,1.94E-33,ASGR1,29.23318353
192,-0.071615028,0.011003893,7.76E-11,24220,3,0.001196875,3.49E-14,ASGR2,10.1103156
193,0.030436855,0.01114152,0.006302727,24228,1,0.086877047,2.61E-22,ASPN,2.200471486
194,-0.013075262,0.011230686,0.24433649,24221,1,0.079531719,2.05E-26,ASPSCR1,0.612011669
195,-0.018645085,0.011250828,0.097488531,23578,1,0.084665591,5.09E-18,ASRGL1,1.011046476
196,-0.012496386,0.010572134,0.237213041,23437,1,0.001917754,8.80E-88,ASS1,0.624861439
197,-0.030914546,0.01216012,0.011018531,26501,1,1.721528766,0.139087305,ATF2,1.957876313
198,-0.008384181,0.01134082,0.459736928,23351,1,0.12006828,0.228329309,ATF4,0.33749061
199,-0.020395239,0.011301822,0.071150182,24124,1,0.06593002,1.07E-11,ATG16L1,1.147823986
200,-0.029933654,0.011990361,0.01254942,26511,1,0.126101138,2.16E-14,ATG4A,1.901376338
201,-0.024582757,0.01235459,0.046626621,27136,1,0.2854051,2.70E-08,ATOX1,1.331366058
202,0.014585309,0.011272468,0.195716949,23437,1,0.121238362,8.12E-06,ATP1B1,0.708371564
203,0.007496708,0.011299931,0.507062008,23437,1,0.270244526,0.00187767,ATP1B2,0.294938928
204,-0.012765266,0.011352085,0.260818235,23437,1,0.146102215,0.182179126,ATP1B3,0.583662048
205,-0.002773296,0.011360105,0.807135476,23351,1,0.042235195,0.335813597,ATP1B4,0.093053564
206,-0.006649311,0.011320707,0.55696876,23437,1,0.058947679,0.428756185,ATP2B4,0.254169163
207,-0.005113132,0.011258907,0.649731498,23437,1,0.039105898,0.653898524,ATP5F1D,0.187266079
